Player,Pos,Age,Team,GP,MinOn,Win_pct,AdjPPG,End Elo,absDelta,relDelta,EPG,teamRank,Market Value
Axel Tuanzebe,D,27.0,Ipswich,16,1330,12.5,0.75,1656.0,-22.0,-1.3,-0.45,19,5.0
Ayden Heaven,D,18.0,ManUnited,2,100,50.0,1.5,1761.0,13.0,0.76,1.05,11,1.5
Bart Verbruggen,G,22.0,Brighton,29,2834,34.5,1.41,1807.0,42.0,2.38,1.06,9,25.0
Ben Chilwell,D,28.0,CrystalPalace,5,149,40.0,1.6,1766.0,16.0,0.9,1.04,14,18.0
Ben Davies,D,31.0,Tottenham,10,871,50.0,1.6,1811.0,13.0,0.73,0.74,6,8.0
Ben Godfrey,D,27.0,Ipswich,2,110,0.0,0.0,1661.0,-17.0,-1.01,-0.52,17,8.0
Ben Johnson,F,25.0,Ipswich,19,1244,26.3,1.05,1673.0,-5.0,-0.32,0.06,12,9.0
Ben Mee,F,35.0,Brentford,7,219,14.3,1.0,1709.0,-26.0,-1.48,-0.79,24,0.9
Ben White,D,27.0,Arsenal,12,838,25.0,1.33,1841.0,-17.0,-0.92,-0.34,22,50.0
Benoît Badiashile,D,23.0,Chelsea,5,365,60.0,2.0,1838.0,32.0,1.75,1.76,7,25.0
Bernardo Silva,M,30.0,ManCity,27,2294,37.0,1.44,1836.0,-86.0,-4.48,-1.79,26,45.0
Bernd Leno,G,33.0,Fulham,31,3025,41.9,1.55,1849.0,120.0,6.94,2.64,3,11.0
Beto,F,27.0,Everton,23,1190,17.4,1.04,1723.0,13.0,0.75,0.5,14,20.0
Bilal El Khannouss,F,20.0,Leicester,26,1739,15.4,0.5,1568.0,-161.0,-9.34,-3.57,26,30.0
Bobby Reid,F,32.0,Leicester,20,734,20.0,1.15,1702.0,-17.0,-0.97,-0.27,4,4.0
Boubacar Kamara,M,25.0,AstonVilla,19,1299,31.6,1.32,1788.0,32.0,1.81,1.08,12,38.0
Boubacar Traoré,M,23.0,Wolves,1,6,0.0,1.0,1740.0,0.0,0.0,0.39,9,6.0
Boubakary Soumaré,M,26.0,Leicester,24,1862,12.5,0.54,1554.0,-165.0,-9.59,-3.84,28,14.0
Brajan Gruda,M,20.0,Brighton,15,550,13.3,0.87,1679.0,-67.0,-3.82,-1.87,29,25.0
Brandon Austin,G,25.0,Tottenham,1,103,0.0,0.0,1765.0,0.0,0.0,0.39,20,0.6
Brennan Johnson,F,23.0,Tottenham,28,2016,35.7,1.39,1791.0,20.0,1.12,0.6,11,50.0
Bruno Fernandes,F,30.0,ManUnited,30,2739,33.3,1.33,1852.0,74.0,4.14,1.72,1,55.0
Bruno Guimarães,M,27.0,Newcastle,30,2716,53.3,1.77,1859.0,71.0,3.94,1.65,3,80.0
Bryan Mbeumo,F,25.0,Brentford,31,2964,41.9,1.45,1878.0,125.0,7.16,2.74,1,50.0
Bukayo Saka,F,23.0,Arsenal,18,1412,55.6,2.0,1954.0,78.0,4.13,2.42,3,150.0
Caleb Kporha,D,18.0,CrystalPalace,2,25,0.0,0.5,1732.0,-15.0,-0.88,-0.42,20,1.0
Caleb Okoli,D,23.0,Leicester,17,1123,11.8,0.71,1650.0,-55.0,-3.25,-1.4,13,12.0
Callum Hudson-Odoi,F,24.0,Forest,26,2064,57.7,2.04,1885.0,171.0,10.0,4.13,3,24.0
Callum Wilson,F,33.0,Newcastle,10,256,20.0,0.9,1737.0,-50.0,-2.8,-1.58,23,11.0
Calvin Bassey,D,25.0,Fulham,29,2751,41.4,1.55,1798.0,78.0,4.53,1.84,8,25.0
Cameron Archer,F,23.0,Southampton,28,1366,14.3,0.79,1600.0,-106.0,-6.24,-2.19,21,14.0
Cameron Burgess,D,29.0,Ipswich,13,1216,30.8,1.08,1691.0,17.0,1.0,0.8,7,2.5
Caoimhín Kelleher,G,26.0,Liverpool,10,965,70.0,2.3,1888.0,55.0,2.99,2.28,12,22.0
Carlos Alcaraz,F,22.0,Everton,9,465,22.2,1.33,1791.0,42.0,2.41,1.87,1,14.0
Carlos Baleba,M,21.0,Brighton,27,2172,48.1,1.74,1816.0,57.0,3.25,1.45,7,35.0
Carlos Forbs,F,20.0,Wolves,9,293,22.2,1.11,1697.0,-17.0,-0.99,-0.38,20,8.0
Carlos Soler,M,28.0,WestHam,26,1267,23.1,1.15,1704.0,-53.0,-2.99,-1.07,19,20.0
Carlos Vinícius,F,29.0,Fulham,1,10,0.0,1.0,1758.0,0.0,0.0,0.39,16,4.0
Casemiro,M,33.0,ManUnited,21,1369,28.6,1.14,1736.0,-47.0,-2.62,-1.05,20,12.0
Chadi Riad,D,21.0,CrystalPalace,1,96,0.0,0.0,1730.0,0.0,0.0,0.39,21,15.0
Charlie Taylor,D,31.0,Southampton,7,316,0.0,0.43,1628.0,-77.0,-4.52,-2.9,15,2.8
Cheick Doucouré,M,25.0,CrystalPalace,13,504,23.1,1.08,1715.0,-39.0,-2.21,-1.06,24,30.0
Chiedozie Ogbene,F,27.0,Ipswich,5,248,20.0,1.2,1698.0,4.0,0.23,0.5,3,8.0
Chris Richards,D,24.0,CrystalPalace,17,1430,41.2,1.53,1809.0,67.0,3.87,2.17,8,12.0
Chris Wood,F,33.0,Forest,29,2437,58.6,1.93,1936.0,207.0,11.95,4.64,1,10.0
Christian Eriksen,M,33.0,ManUnited,17,889,29.4,1.29,1740.0,-25.0,-1.39,-0.53,19,6.0
Christian Nørgaard,M,31.0,Brentford,27,2303,40.7,1.41,1774.0,28.0,1.6,0.79,8,12.0
Christian Walton,G,29.0,Ipswich,6,582,16.7,0.67,1681.0,-3.0,-0.16,0.17,10,1.5
Christopher Nkunku,F,27.0,Chelsea,26,1050,23.1,1.15,1742.0,-17.0,-0.94,-0.23,27,45.0
Cody Gakpo,F,25.0,Liverpool,28,1575,42.9,1.71,1881.0,71.0,3.92,1.73,13,70.0
Cole Palmer,F,22.0,Chelsea,30,2724,50.0,1.77,1943.0,179.0,10.14,3.94,1,130.0
Conor Bradley,D,21.0,Liverpool,13,461,30.8,1.46,1806.0,11.0,0.61,0.6,23,25.0
Conor Chaplin,F,28.0,Ipswich,16,683,12.5,0.88,1634.0,-42.0,-2.52,-1.05,22,8.0
Conor Coady,D,32.0,Leicester,15,1167,6.7,0.33,1577.0,-125.0,-7.34,-3.67,24,3.0
Conor Townsend,D,32.0,Ipswich,5,334,20.0,1.2,1731.0,52.0,3.11,2.66,2,1.2
Craig Dawson,D,34.0,Wolves,15,1079,13.3,0.8,1662.0,-53.0,-3.07,-1.43,26,2.0
Cristian Romero,D,26.0,Tottenham,16,1379,37.5,1.31,1771.0,-0.0,-0.0,0.21,18,55.0
Crysencio Summerville,F,23.0,WestHam,19,882,26.3,1.16,1714.0,-7.0,-0.41,0.0,17,22.0
Curtis Jones,D,24.0,Liverpool,26,1449,38.5,1.62,1869.0,38.0,2.06,1.04,15,50.0
Daichi Kamada,M,28.0,CrystalPalace,26,1233,34.6,1.5,1752.0,-3.0,-0.18,0.09,17,15.0
Dan Burn,D,32.0,Newcastle,29,2817,55.2,1.83,1869.0,81.0,4.54,1.91,2,7.0
Dane Scarlett,M,20.0,Tottenham,3,51,66.7,2.0,1781.0,-2.0,-0.11,0.25,16,1.8
Dango Ouattara,F,23.0,Bournemouth,28,1823,28.6,1.29,1799.0,89.0,5.19,2.13,4,25.0
Daniel Jebbison,F,21.0,Bournemouth,11,147,27.3,1.45,1770.0,30.0,1.72,1.31,14,4.0
Daniel Muñoz,D,28.0,CrystalPalace,29,2682,37.9,1.41,1849.0,110.0,6.33,2.54,2,25.0
Danilo,F,23.0,Forest,6,222,33.3,1.33,1703.0,4.0,0.23,0.48,19,28.0
Danny Ings,M,32.0,WestHam,15,380,13.3,1.13,1738.0,-3.0,-0.16,0.13,7,7.0
Danny Ward,G,31.0,Leicester,2,145,0.0,0.0,1677.0,-30.0,-1.77,-1.2,7,1.5
Danny Welbeck,F,34.0,Brighton,24,1711,45.8,1.62,1824.0,22.0,1.22,0.71,4,5.0
Dara O'Shea,D,26.0,Ipswich,28,2679,14.3,0.68,1642.0,-63.0,-3.68,-1.24,21,14.0
Darwin Núñez,F,25.0,Liverpool,25,1132,40.0,1.68,1867.0,40.0,2.21,1.12,16,50.0
David Brooks,F,27.0,Bournemouth,24,896,37.5,1.58,1799.0,63.0,3.64,1.7,5,12.0
David Raya,G,29.0,Arsenal,31,2992,54.8,2.0,1961.0,99.0,5.33,2.2,2,40.0
Dean Henderson,G,28.0,CrystalPalace,30,2906,36.7,1.43,1825.0,81.0,4.64,1.87,7,15.0
Dean Huijsen,D,19.0,Bournemouth,25,2051,36.0,1.48,1851.0,123.0,7.13,3.08,2,42.0
Declan Rice,M,26.0,Arsenal,29,2485,51.7,1.93,1934.0,76.0,4.11,1.8,7,110.0
Dejan Kulusevski,M,24.0,Tottenham,27,2332,37.0,1.26,1785.0,15.0,0.82,0.5,12,60.0
Destiny Udogie,D,22.0,Tottenham,23,1856,39.1,1.3,1752.0,-18.0,-1.04,-0.27,25,45.0
Diego Gómez,M,22.0,Brighton,9,431,22.2,1.11,1743.0,-22.0,-1.23,-0.57,22,13.0
Diogo Dalot,D,26.0,ManUnited,30,2874,30.0,1.17,1719.0,-58.0,-3.27,-1.08,22,35.0
Diogo Jota,F,28.0,Liverpool,20,1067,65.0,2.15,1870.0,50.0,2.73,1.53,14,45.0
Djed Spence,D,24.0,Tottenham,18,1362,44.4,1.5,1821.0,54.0,3.08,1.74,3,15.0
Dominic Calvert-Lewin,F,27.0,Everton,22,1640,22.7,1.18,1720.0,21.0,1.22,0.72,15,20.0
Dominic Solanke,F,27.0,Tottenham,22,2106,31.8,1.09,1755.0,-12.0,-0.7,-0.13,22,45.0
Dominik Szoboszlai,F,24.0,Liverpool,29,2249,65.5,2.14,1943.0,102.0,5.55,2.36,8,80.0
Donyell Malen,F,26.0,AstonVilla,8,276,37.5,1.38,1774.0,17.0,0.96,0.95,14,25.0
Dwight McNeil,F,25.0,Everton,14,1216,21.4,0.93,1700.0,1.0,0.09,0.26,23,25.0
Eberechi Eze,F,26.0,CrystalPalace,26,2206,42.3,1.58,1833.0,85.0,4.85,2.13,4,55.0
Eddie Nketiah,F,25.0,CrystalPalace,22,842,18.2,1.18,1725.0,-17.0,-0.99,-0.25,22,22.0
Ederson,G,31.0,ManCity,21,2024,57.1,1.86,1918.0,0.0,0.0,0.18,3,25.0
Edmond-Paris Maghoma,M,23.0,Brentford,8,154,25.0,1.38,1753.0,3.0,0.15,0.4,12,0.6
Edson Álvarez,M,27.0,WestHam,25,1718,24.0,1.04,1677.0,-57.0,-3.3,-1.19,27,30.0
Eiran Cashin,D,23.0,Brighton,1,29,0.0,0.0,1751.0,0.0,0.0,0.39,18,8.0
Elliot Anderson,M,22.0,Forest,30,2245,53.3,1.8,1817.0,128.0,7.6,2.86,10,30.0
Emerson Palmieri,D,30.0,WestHam,27,1936,29.6,1.19,1715.0,-3.0,-0.15,0.09,16,12.0
Emil Krafth,D,30.0,Newcastle,6,286,33.3,1.67,1792.0,15.0,0.82,0.95,18,2.5
Emile Smith Rowe,M,24.0,Fulham,28,1862,28.6,1.32,1789.0,51.0,2.93,1.28,11,32.0
Emiliano Martínez,G,32.0,AstonVilla,30,2824,43.3,1.6,1850.0,68.0,3.8,1.59,5,25.0
Emmanuel Agbadou,D,27.0,Wolves,9,836,44.4,1.44,1759.0,53.0,3.12,2.29,6,17.0
Enes Ünal,F,27.0,Bournemouth,17,437,23.5,1.35,1753.0,35.0,2.07,1.23,18,13.0
Enzo Fernández,M,24.0,Chelsea,29,2493,48.3,1.72,1845.0,85.0,4.81,1.99,4,75.0
Eric da Silva Moreira,M,18.0,Forest,2,40,0.0,1.0,1734.0,3.0,0.15,0.52,16,1.0
Erling Haaland,F,24.0,ManCity,28,2637,50.0,1.71,1947.0,12.0,0.63,0.42,1,200.0
Ethan Nwaneri,F,18.0,Arsenal,21,797,38.1,1.67,1876.0,45.0,2.45,1.36,16,55.0
Ethan Pinnock,D,31.0,Brentford,22,2046,40.9,1.41,1775.0,29.0,1.66,0.92,7,8.0
Evan Ferguson,F,20.0,WestHam,19,482,10.5,0.95,1726.0,-30.0,-1.7,-0.64,12,32.0
Evanilson,F,25.0,Bournemouth,24,1786,37.5,1.38,1751.0,9.0,0.51,0.39,19,35.0
Ezri Konsa,D,27.0,AstonVilla,27,2502,44.4,1.56,1794.0,16.0,0.88,0.52,10,35.0
Fabian Schär,D,33.0,Newcastle,26,2403,46.2,1.58,1836.0,62.0,3.47,1.6,7,9.0
Fabio Carvalho,F,22.0,Brentford,19,539,10.5,0.95,1686.0,-48.0,-2.79,-1.13,27,15.0
Facundo Buonanotte,F,20.0,Leicester,27,1528,18.5,0.93,1665.0,-53.0,-3.08,-1.04,9,22.0
Federico Chiesa,F,27.0,Liverpool,4,57,25.0,1.25,1805.0,-19.0,-1.05,-0.57,24,18.0
Ferdi Kadioglu,M,25.0,Brighton,6,403,33.3,1.17,1744.0,-8.0,-0.44,-0.04,21,30.0
Filip Jørgensen,G,22.0,Chelsea,6,581,50.0,1.5,1799.0,-29.0,-1.61,-0.95,16,20.0
Flynn Downes,M,26.0,Southampton,21,1723,9.5,0.48,1580.0,-116.0,-6.83,-2.86,28,15.0
Fraser Forster,G,36.0,Tottenham,7,682,14.3,0.71,1765.0,-30.0,-1.65,-0.95,21,1.2
Gabriel Jesus,F,27.0,Arsenal,17,688,29.4,1.53,1903.0,74.0,4.07,2.37,12,40.0
Gabriel Magalhães,D,27.0,Arsenal,28,2529,57.1,2.04,1945.0,86.0,4.65,2.06,5,75.0
Gabriel Martinelli,F,23.0,Arsenal,26,1795,50.0,1.85,1924.0,65.0,3.47,1.67,9,55.0
George Hirst,F,26.0,Ipswich,19,407,15.8,1.11,1697.0,-0.0,-0.02,0.19,4,5.0
Georginio Rutter,F,22.0,Brighton,28,1754,42.9,1.64,1807.0,49.0,2.79,1.24,10,32.0
Gonçalo Guedes,F,28.0,Wolves,24,894,29.2,1.29,1727.0,16.0,0.93,0.56,12,13.0
Guglielmo Vicario,G,28.0,Tottenham,19,1855,47.4,1.53,1831.0,60.0,3.4,1.85,1,35.0
Guido Rodríguez,M,30.0,WestHam,20,1082,25.0,1.2,1722.0,3.0,0.17,0.27,15,12.0
Harrison Reed,M,30.0,Fulham,11,159,9.1,0.91,1701.0,-36.0,-2.07,-1.03,25,7.0
Harry Maguire,D,32.0,ManUnited,22,1541,27.3,1.23,1746.0,-17.0,-0.95,-0.25,16,15.0
Harry Toffolo,D,29.0,Forest,3,60,0.0,0.67,1681.0,1.0,0.06,0.4,22,4.0
Harry Wilson,F,27.0,Fulham,19,929,42.1,1.63,1798.0,82.0,4.75,2.46,9,17.0
Harry Winks,M,29.0,Leicester,22,1666,9.1,0.64,1618.0,-101.0,-5.86,-2.4,16,10.0
Harvey Barnes,F,27.0,Newcastle,25,1211,28.0,1.36,1823.0,59.0,3.36,1.57,10,30.0
Harvey Elliott,F,22.0,Liverpool,12,229,41.7,1.75,1849.0,30.0,1.63,1.27,18,35.0
Hwang Hee-chan,F,29.0,Wolves,18,725,16.7,0.83,1644.0,-58.0,-3.39,-1.45,28,17.0
Hákon Rafn Valdimarsson,G,23.0,Brentford,2,155,0.0,0.5,1715.0,-30.0,-1.73,-1.2,21,2.5
Ian Maatsen,D,23.0,AstonVilla,23,840,26.1,1.17,1734.0,-41.0,-2.3,-0.85,25,28.0
Ibrahim Sangaré,M,27.0,Forest,8,315,37.5,1.75,1770.0,63.0,3.67,2.78,12,28.0
Ibrahima Konaté,D,25.0,Liverpool,25,2196,68.0,2.24,1940.0,112.0,6.12,2.82,9,60.0
Idrissa Gana Gueye,M,35.0,Everton,30,2596,20.0,1.03,1733.0,38.0,2.22,0.95,10,2.0
Igor,D,26.0,Brighton,12,987,33.3,1.42,1775.0,21.0,1.18,0.96,14,22.0
Iliman Ndiaye,F,25.0,Everton,26,2071,26.9,1.27,1788.0,77.0,4.51,1.95,5,22.0
Illia Zabarnyi,D,22.0,Bournemouth,29,2711,41.4,1.52,1796.0,74.0,4.28,1.76,8,40.0
Ismaila Sarr,F,27.0,CrystalPalace,30,2240,40.0,1.6,1837.0,82.0,4.69,1.89,3,22.0
Issa Diop,D,28.0,Fulham,21,1479,23.8,1.24,1757.0,31.0,1.82,1.0,18,16.0
Jack Clarke,F,24.0,Ipswich,25,1008,12.0,0.88,1620.0,-74.0,-4.36,-1.59,25,15.0
Jack Grealish,M,29.0,ManCity,18,786,50.0,1.83,1882.0,-12.0,-0.64,-0.14,13,35.0
Jack Harrison,F,28.0,Everton,27,1758,14.8,0.93,1682.0,-21.0,-1.24,-0.32,26,16.0
Jack Hinshelwood,D,19.0,Brighton,19,1510,42.1,1.53,1790.0,25.0,1.43,0.89,11,24.0
Jack Stephens,D,31.0,Southampton,13,964,0.0,0.38,1619.0,-75.0,-4.45,-2.25,16,2.0
Jack Taylor,M,26.0,Ipswich,25,667,12.0,1.0,1665.0,-31.0,-1.85,-0.57,14,3.0
Jacob Greaves,D,24.0,Ipswich,19,1786,5.3,0.47,1624.0,-59.0,-3.52,-1.44,24,20.0
Jacob Murphy,F,30.0,Newcastle,27,1899,44.4,1.59,1857.0,88.0,4.96,2.15,4,16.0
Jacob Ramsey,F,23.0,AstonVilla,23,1402,30.4,1.26,1741.0,-37.0,-2.09,-0.75,23,32.0
Jaden Philogene Bidace,F,23.0,Ipswich,20,904,10.0,0.65,1612.0,-48.0,-2.7,-1.1,26,18.0
Jadon Sancho,F,25.0,Chelsea,25,1691,44.0,1.56,1784.0,-16.0,-0.9,-0.21,22,30.0
Jake O'Brien,D,23.0,Everton,14,1117,28.6,1.43,1789.0,89.0,5.23,3.08,4,15.0
Jakub Kiwior,D,25.0,Arsenal,10,551,20.0,1.1,1823.0,-16.0,-0.89,-0.33,23,22.0
Jakub Stolarczyk,G,24.0,Leicester,6,581,16.7,0.5,1678.0,-32.0,-1.88,-1.08,6,0.4
James Bree,D,27.0,Southampton,14,951,7.1,0.43,1593.0,-105.0,-6.16,-3.14,24,2.5
James Garner,M,24.0,Everton,14,1018,14.3,1.0,1714.0,22.0,1.31,0.93,17,20.0
James Hill,D,23.0,Bournemouth,10,484,10.0,0.8,1711.0,-51.0,-2.88,-1.62,26,2.0
James Justin,D,27.0,Leicester,29,2588,13.8,0.59,1571.0,-147.0,-8.56,-3.03,25,15.0
James Maddison,M,28.0,Tottenham,29,1792,34.5,1.31,1815.0,44.0,2.51,1.11,4,50.0
James Mcatee,F,22.0,ManCity,11,194,27.3,1.36,1853.0,-11.0,-0.61,-0.14,23,18.0
James Milner,M,38.0,Brighton,3,172,33.3,1.67,1764.0,-1.0,-0.04,0.3,16,1.0
James Tarkowski,D,32.0,Everton,31,2971,22.6,1.13,1782.0,79.0,4.66,1.79,6,10.0
James Ward-Prowse,M,30.0,WestHam,17,1059,23.5,1.12,1749.0,-18.0,-1.03,-0.32,3,10.0
Jamie Vardy,F,38.0,Leicester,29,2496,13.8,0.59,1550.0,-169.0,-9.82,-3.51,29,1.0
Jan Bednarek,D,28.0,Southampton,25,2249,8.0,0.48,1601.0,-95.0,-5.6,-2.09,20,11.0
Jan Paul van Hecke,D,24.0,Brighton,29,2728,34.5,1.48,1820.0,59.0,3.36,1.43,6,32.0
Jannik Vestergaard,D,32.0,Leicester,18,1478,11.1,0.44,1578.0,-140.0,-8.17,-3.78,23,3.0
Jarell Quansah,D,22.0,Liverpool,10,342,20.0,1.3,1816.0,7.0,0.39,0.52,21,22.0
Jarrad Branthwaite,D,22.0,Everton,24,2133,29.2,1.38,1791.0,66.0,3.86,1.77,2,50.0
Jarrod Bowen,F,28.0,WestHam,27,2529,29.6,1.19,1792.0,56.0,3.21,1.43,1,45.0
Jason Steele,G,34.0,Brighton,2,199,100.0,3.0,1777.0,16.0,0.92,1.2,13,2.0
Jean-Clair Todibo,D,25.0,WestHam,20,1326,30.0,1.3,1749.0,8.0,0.47,0.4,4,28.0
Jean-Philippe Mateta,F,27.0,CrystalPalace,29,2399,34.5,1.41,1866.0,129.0,7.41,2.95,1,30.0
Jean-Ricner Bellegarde,F,26.0,Wolves,29,1528,37.9,1.41,1761.0,50.0,2.93,1.24,3,18.0
Jefferson Lerma,D,30.0,CrystalPalace,25,1850,32.0,1.32,1758.0,20.0,1.17,0.64,16,12.0
Jens Cajuste,M,25.0,Ipswich,24,1660,16.7,0.79,1610.0,-84.0,-4.97,-1.87,27,12.0
Jeremy Doku,F,22.0,ManCity,22,1347,45.5,1.73,1916.0,-0.0,-0.01,0.18,5,55.0
Jesper Lindstrøm,M,25.0,Everton,25,1306,28.0,1.28,1728.0,20.0,1.17,0.64,13,20.0
Joachim Andersen,D,28.0,Fulham,23,2211,47.8,1.57,1821.0,84.0,4.81,2.27,5,32.0
Joe Aribo,M,28.0,Southampton,30,2058,13.3,0.63,1584.0,-111.0,-6.57,-2.21,26,6.0
Joe Gomez,D,27.0,Liverpool,9,569,55.6,2.0,1891.0,48.0,2.59,2.1,11,25.0
Joe Lumley,G,29.0,Southampton,3,296,0.0,0.33,1689.0,-17.0,-1.0,-0.5,3,0.6
Joe Willock,F,25.0,Newcastle,26,965,34.6,1.46,1794.0,9.0,0.51,0.37,16,28.0
Joel Ward,D,35.0,CrystalPalace,1,14,0.0,1.0,1779.0,0.0,0.0,0.39,13,0.6
Joelinton,M,28.0,Newcastle,26,2295,50.0,1.69,1832.0,42.0,2.33,1.14,8,40.0
John McGinn,F,30.0,AstonVilla,27,2004,29.6,1.26,1725.0,-36.0,-2.04,-0.66,26,18.0
John Stones,D,30.0,ManCity,11,593,54.5,1.82,1886.0,-8.0,-0.45,-0.03,11,30.0
Jonny Evans,D,36.0,ManUnited,6,317,66.7,2.33,1805.0,32.0,1.79,1.69,2,1.5
Jordan Ayew,F,33.0,Leicester,26,1438,19.2,0.85,1613.0,-92.0,-5.39,-1.97,19,3.5
Jordan Pickford,G,31.0,Everton,31,2984,22.6,1.13,1791.0,86.0,5.03,1.93,3,20.0
Jorge Cuenca,D,25.0,Fulham,6,291,16.7,1.0,1749.0,22.0,1.29,1.25,22,6.0
Jorginho,M,33.0,Arsenal,13,654,30.8,1.62,1876.0,16.0,0.89,0.76,17,8.0
Joshua Acheampong,M,18.0,Chelsea,4,186,0.0,0.75,1772.0,-24.0,-1.36,-0.8,23,5.0
Joshua King,F,18.0,Fulham,5,102,20.0,1.4,1758.0,-5.0,-0.29,0.09,17,1.0
Joshua Zirkzee,F,23.0,ManUnited,31,1506,29.0,1.26,1741.0,-52.0,-2.88,-0.93,18,35.0
José Sá,G,32.0,Wolves,24,2338,37.5,1.29,1761.0,55.0,3.2,1.51,4,8.0
Jota Silva,F,25.0,Forest,26,921,34.6,1.46,1743.0,34.0,2.0,0.95,14,14.0
João Gomes,M,24.0,Wolves,29,2553,27.6,1.07,1696.0,-7.0,-0.39,0.0,21,40.0
João Pedro,F,23.0,Brighton,25,1924,36.0,1.52,1854.0,102.0,5.85,2.59,1,50.0
Joël Veltman,D,33.0,Brighton,19,1759,47.4,1.79,1823.0,62.0,3.53,1.91,5,7.0
