Player,Pos,Age,Team,GP,MinOn,Win_pct,AdjPPG,End Elo,absDelta,relDelta,EPG,teamRank,Market Value
Kepa Arrizabalaga,G,28,Chelsea,29,2738.0,27.6,1.14,1797.0,-3.0,-0.17,0.15,11,18.0
Kevin De Bruyne,M,31,ManCity,32,2553.0,65.6,2.22,2087.0,168.0,8.74,3.4,2,70.0
Kevin Mbabu,F,27,Fulham,6,178.0,16.7,0.67,1699.0,-37.0,-2.12,-1.0,28,3.5
Kevin Schade,F,21,Brentford,18,793.0,33.3,1.5,1789.0,9.0,0.49,0.51,17,25.0
Keylor Navas,G,36,Forest,17,1655.0,23.5,0.94,1757.0,46.0,2.68,1.51,5,4.0
Kieffer Moore,F,30,Bournemouth,27,1395.0,11.1,0.81,1650.0,-120.0,-6.79,-2.3,31,4.0
Kieran Tierney,D,25,Arsenal,27,920.0,29.6,1.48,1830.0,5.0,0.25,0.33,21,25.0
Kieran Trippier,D,32,Newcastle,38,3553.0,50.0,1.87,2006.0,214.0,11.96,3.84,1,11.0
Kiernan Dewsbury-Hall,M,24,Leicester,31,2428.0,38.7,1.29,1771.0,-24.0,-1.35,-0.26,3,25.0
Kobbie Mainoo,M,17,ManUnited,1,15.0,0.0,1.0,1835.0,0.0,0.0,0.5,19,0.8
Kostas Tsimikas,D,27,Liverpool,20,842.0,30.0,1.4,1845.0,-17.0,-0.91,-0.16,27,18.0
Kristoffer Ajer,D,24,Brentford,9,797.0,22.2,1.11,1750.0,4.0,0.23,0.5,23,16.0
Kurt Zouma,D,28,WestHam,25,2103.0,32.0,1.16,1793.0,31.0,1.79,0.92,4,22.0
Kyle Walker,D,33,ManCity,27,2083.0,59.3,2.0,1946.0,31.0,1.64,0.88,14,13.0
Kyle Walker-Peters,D,26,Southampton,31,2834.0,16.1,0.68,1611.0,-97.0,-5.7,-1.68,35,25.0
Layvin Kurzawa,F,30,Fulham,3,147.0,0.0,0.33,1716.0,-7.0,-0.38,0.15,25,3.0
Leander Dendoncker,M,28,AstonVilla,24,1018.0,25.0,1.17,1780.0,22.0,1.25,0.73,17,15.0
Leandro Trossard,F,28,Arsenal,36,2372.0,41.7,1.5,1875.0,-4.0,-0.24,0.12,13,35.0
Leon Bailey,F,25,AstonVilla,33,2055.0,30.3,1.3,1798.0,55.0,3.13,1.23,13,28.0
Levi Colwill,D,20,Brighton,17,1328.0,41.2,1.53,1827.0,59.0,3.36,1.86,13,30.0
Lewis Brunt,D,22,Leicester,1,29.0,0.0,0.0,1761.0,0.0,0.0,0.5,6,0.1
Lewis Cook,M,26,Bournemouth,28,1858.0,17.9,0.86,1653.0,-90.0,-5.15,-1.64,30,10.0
Lewis Dunk,D,31,Brighton,36,3482.0,50.0,1.69,1857.0,71.0,3.98,1.45,7,16.0
Lewis Hall,D,18,Chelsea,9,677.0,11.1,0.78,1783.0,-26.0,-1.42,-0.52,20,10.0
Lewis O'Brien,M,24,Forest,13,638.0,23.1,1.08,1708.0,-4.0,-0.21,0.2,19,8.0
Liam Cooper,D,31,Leeds,18,1528.0,11.1,0.67,1678.0,-73.0,-4.16,-1.62,21,3.0
Lisandro Martínez,D,25,ManUnited,27,2233.0,48.1,1.7,1866.0,94.0,5.33,2.2,15,50.0
Lloyd Kelly,D,24,Bournemouth,23,2179.0,34.8,1.13,1701.0,-61.0,-3.46,-1.16,17,18.0
Lucas Digne,D,29,AstonVilla,28,1622.0,35.7,1.39,1788.0,48.0,2.73,1.21,15,15.0
Lucas Moura,M,30,Tottenham,15,222.0,20.0,1.27,1811.0,-8.0,-0.46,0.07,21,6.0
Lucas Paquetá,F,25,WestHam,28,2223.0,28.6,1.18,1770.0,1.0,0.03,0.24,8,45.0
Ludwig Augustinsson,D,28,AstonVilla,3,94.0,33.3,1.67,1773.0,9.0,0.53,0.84,19,2.5
Luis Díaz,M,26,Liverpool,17,1063.0,52.9,1.88,1910.0,56.0,3.04,1.78,8,75.0
Luis Sinisterra,F,23,Leeds,19,906.0,15.8,0.89,1685.0,-65.0,-3.73,-1.38,17,22.0
Luka Milivojević,M,32,CrystalPalace,18,580.0,22.2,1.17,1737.0,-8.0,-0.47,0.07,22,2.0
Luke Ayling,D,31,Leeds,29,2223.0,13.8,0.79,1674.0,-67.0,-3.85,-1.14,22,1.8
Luke Harris,F,17,Fulham,3,28.0,0.0,0.67,1738.0,-6.0,-0.37,0.2,17,0.5
Luke Shaw,D,27,ManUnited,31,2703.0,54.8,1.84,1898.0,130.0,7.33,2.73,7,42.0
Luke Thomas,D,21,Leicester,17,1145.0,23.5,1.0,1748.0,1.0,0.07,0.31,14,12.0
Lyanco,D,26,Southampton,21,1306.0,4.8,0.62,1655.0,-75.0,-4.31,-1.55,29,3.5
Mads Bech Sørensen,D,23,Brentford,4,32.0,25.0,1.5,1768.0,-1.0,-0.03,0.39,20,2.5
Mads Roerslev,D,23,Brentford,20,1228.0,35.0,1.55,1828.0,51.0,2.86,1.52,8,6.0
Malcolm Ebiowei,M,19,CrystalPalace,3,46.0,0.0,0.67,1742.0,-23.0,-1.28,-0.53,20,3.0
Manor Solomon,F,23,Fulham,19,665.0,15.8,1.0,1722.0,-11.0,-0.64,-0.01,23,18.0
Manuel Akanji,D,27,ManCity,29,2447.0,75.9,2.31,2004.0,90.0,4.71,2.03,10,38.0
Manuel Lanzini,M,30,WestHam,10,303.0,20.0,1.0,1733.0,-28.0,-1.6,-0.57,21,6.0
Marc Albrighton,M,33,Leicester,6,258.0,33.3,1.33,1761.0,11.0,0.61,0.82,7,1.0
Marc Cucurella,D,24,Chelsea,24,1765.0,20.8,1.08,1776.0,-47.0,-2.59,-0.82,23,35.0
Marc Guéhi,D,22,CrystalPalace,37,3546.0,29.7,1.22,1786.0,43.0,2.44,0.93,5,35.0
Marc Roca,M,26,Leeds,32,2432.0,15.6,0.78,1643.0,-100.0,-5.73,-1.7,27,10.0
Marcel Sabitzer,M,29,ManUnited,11,672.0,45.5,1.64,1829.0,31.0,1.74,1.32,21,20.0
Marcos Senesi,D,26,Bournemouth,31,2642.0,22.6,0.87,1685.0,-55.0,-3.13,-0.86,20,22.0
Marcus Rashford,F,25,ManUnited,35,3022.0,57.1,1.89,1954.0,190.0,10.75,3.62,2,80.0
Marcus Tavernier,D,24,Bournemouth,23,1831.0,39.1,1.43,1801.0,52.0,2.99,1.44,1,17.0
Marek Rodák,G,25,Fulham,2,196.0,0.0,1.0,1738.0,2.0,0.14,0.56,18,3.0
Mario Lemina,M,29,Wolves,19,1375.0,26.3,1.0,1725.0,-20.0,-1.14,-0.24,17,10.0
Mark Travers,G,24,Bournemouth,12,1106.0,16.7,0.5,1656.0,-93.0,-5.34,-2.54,29,2.0
Marquinhos,M,19,Arsenal,1,3.0,0.0,1.0,1832.0,0.0,0.0,0.5,20,12.0
