Player,Pos,Age,Team,GP,MinOn,Win_pct,AdjPPG,End Elo,absDelta,relDelta,EPG,teamRank,Market Value
Solly March,F,23,Brighton,36,1980,11.1,0.89,1624.0,-32.0,-1.94,-0.43,21,5.0
Son Heung-min,F,25,Tottenham,37,2398,59.5,2.08,1928.0,116.0,6.38,2.15,3,50.0
Stefano Okaka,F,28,Watford,15,506,33.3,1.27,1638.0,-20.0,-1.19,-0.35,20,5.0
Stephen Ireland,M,31,Stoke,4,142,0.0,0.5,1648.0,-20.0,-1.18,-0.5,16,1.0
Stephen Ward,D,32,Burnley,28,2589,46.4,1.64,1739.0,33.0,1.96,0.84,7,3.0
Steve Cook,D,27,Bournemouth,34,2952,23.5,0.97,1692.0,24.0,1.42,0.58,7,7.0
Steve Mounié,F,23,Huddersfield,28,1950,17.9,0.86,1640.0,-78.0,-4.57,-1.45,7,10.0
Steven Davis,F,33,Southampton,23,1604,21.7,1.13,1674.0,-24.0,-1.42,-0.38,12,4.0
Steven Defour,M,29,Burnley,24,2074,41.7,1.5,1710.0,3.0,0.18,0.24,13,7.0
Sullay Kaikai,M,21,CrystalPalace,1,18,0.0,1.0,1683.0,0.0,0.0,0.36,16,0.5
Séamus Coleman,D,29,Everton,12,1089,50.0,1.75,1764.0,23.0,1.34,0.95,2,12.0
Tammy Abraham,F,20,Swansea,31,1838,16.1,0.84,1605.0,-83.0,-4.92,-1.46,24,10.0
Terence Kongolo,D,24,Huddersfield,13,1109,23.1,1.0,1668.0,18.0,1.08,0.77,1,10.0
Theo Walcott,F,29,Everton,28,1729,42.9,1.68,1769.0,30.0,1.66,0.78,1,20.0
Thibaut Courtois,G,26,Chelsea,35,3319,57.1,1.89,1814.0,30.0,1.68,0.68,13,60.0
Tiemoué Bakayoko,M,23,Chelsea,29,2240,51.7,1.79,1812.0,6.0,0.31,0.28,15,40.0
Timothy Fosu-Mensah,D,20,CrystalPalace,21,1692,14.3,0.76,1616.0,-37.0,-2.26,-0.71,27,7.0
Toby Alderweireld,D,29,Tottenham,14,1251,50.0,1.79,1821.0,2.0,0.11,0.28,16,40.0
Tom Carroll,M,25,Swansea,37,2710,16.2,0.89,1601.0,-83.0,-4.93,-1.31,25,7.0
Tom Cleverley,M,28,Watford,23,2014,34.8,1.3,1666.0,8.0,0.47,0.36,13,9.0
Tom Davies,M,19,Everton,33,2009,33.3,1.42,1717.0,-11.0,-0.66,-0.06,13,15.0
Tom Edwards,D,18,Stoke,6,503,16.7,0.67,1654.0,-33.0,-1.95,-0.96,11,1.0
Tom Heaton,G,31,Burnley,4,322,50.0,1.75,1687.0,-6.0,-0.36,0.07,18,4.0
Tom Ince,M,26,Huddersfield,33,2567,24.2,1.09,1594.0,-74.0,-4.43,-1.24,24,8.0
Tomer Hemed,F,30,Brighton,16,897,18.8,1.12,1690.0,17.0,1.01,0.68,7,2.5
Tommy Smith,D,26,Huddersfield,24,1992,20.8,0.96,1619.0,-43.0,-2.57,-0.8,18,3.0
Trent Alexander-Arnold,D,19,Liverpool,19,1645,57.9,2.0,1857.0,93.0,5.28,2.55,11,25.0
Troy Deeney,F,29,Watford,29,1957,31.0,1.31,1692.0,19.0,1.13,0.54,4,10.0
Tyrone Mings,D,25,Bournemouth,4,215,0.0,0.25,1648.0,-24.0,-1.45,-0.67,20,4.0
Uwe Hünemeier,D,31,Brighton,1,22,0.0,1.0,1676.0,0.0,0.0,0.36,11,1.0
Vicente Iborra,M,30,Leicester,19,1487,42.1,1.47,1744.0,34.0,2.0,1.06,5,10.0
Victor Lindelöf,D,23,ManUnited,17,1358,52.9,1.88,1851.0,45.0,2.52,1.41,14,25.0
Victor Moses,D,27,Chelsea,28,2200,50.0,1.82,1841.0,23.0,1.28,0.63,7,20.0
Victor Wanyama,M,26,Tottenham,18,922,50.0,1.89,1853.0,54.0,3.03,1.6,11,30.0
Vincent Janssen,D,23,Tottenham,1,4,0.0,1.0,1796.0,0.0,0.0,0.36,21,9.0
Vincent Kompany,D,32,ManCity,17,1468,64.7,2.24,1952.0,141.0,7.81,3.97,12,10.0
Virgil van Dijk,D,26,Liverpool,30,2678,36.7,1.47,1849.0,-17.0,-1.02,-0.19,14,50.0
Wayne Hennessey,G,31,CrystalPalace,27,2553,29.6,1.11,1687.0,37.0,2.27,0.94,14,4.0
Wayne Rooney,F,32,Everton,31,2340,38.7,1.39,1762.0,5.0,0.29,0.25,3,10.0
Wayne Routledge,M,33,Swansea,15,471,0.0,0.73,1610.0,-72.0,-4.3,-1.82,22,1.5
Wes Morgan,D,34,Leicester,32,2985,31.2,1.22,1677.0,-23.0,-1.35,-0.29,21,3.0
Wesley Hoedt,D,24,Southampton,28,2670,17.9,0.93,1689.0,5.0,0.27,0.26,7,15.0
Wilfred Ndidi,M,21,Leicester,33,3057,33.3,1.33,1733.0,32.0,1.88,0.74,7,25.0
